POSDiff,Instances,Frequency %,Cum. Freq. %,Unique Words,Inst./ Word
G:NNP | P:NN,572633,15.60%,15.60%,65607,9
G:JJ | P:NN,430673,11.73%,27.33%,42387,10
G:VB | P:VBP,338190,9.21%,36.54%,2312,146
G:VBN | P:JJ,270197,7.36%,43.90%,4666,58
G:VBG | P:JJ,162882,4.44%,48.34%,3727,44
G:NN | P:JJ,156541,4.26%,52.60%,8360,19
G:NN | P:SYM,142748,3.89%,56.49%,9,15861
G:VBG | P:NN,120278,3.28%,59.77%,4290,28
G:VBN | P:VBD,91012,2.48%,62.25%,1968,46
G:DT | P:PRP,87779,2.39%,64.64%,22,3990
G:NNS | P:VBZ,63313,1.72%,66.36%,2755,23
G:NNS | P:NN,54028,1.47%,67.83%,4667,12
G:VBD | P:VBN,53115,1.45%,69.28%,1762,30
G:RB | P:WRB,48486,1.32%,70.60%,5,9697
G:NN | P:VBP,46106,1.26%,71.86%,2090,22
G:FW | P:NN,46018,1.25%,73.11%,1458,32
G:RBR | P:RB,44569,1.21%,74.32%,22,2026
G:NNP | P:JJ,41995,1.14%,75.46%,2586,16
G:CD | P:NN,36809,1%,76.46%,7496,5
G:JJ | P:RB,35246,0.96%,77.42%,2763,13
G:JJ | P:DT,32357,0.88%,78.30%,11,2942
G:NNP | P:NNS,31441,0.86%,79.16%,4178,8
G:VBD | P:JJ,28888,0.79%,79.95%,1816,16
G:NN | P:NNS,27213,0.74%,80.69%,2494,11
G:VBZ | P:NNS,25422,0.69%,81.38%,2150,12
G:DT | P:CC,24925,0.68%,82.06%,6,4154
G:FW | P:IN,24711,0.67%,82.73%,19,1301
G:NN | P:VB,24684,0.67%,83.40%,1641,15
G:JJ | P:VBN,24337,0.66%,84.06%,1479,16
G:JJR | P:RB,22775,0.62%,84.68%,34,670
G:VB | P:NN,22157,0.60%,85.28%,3690,6
G:FW | P:CC,21996,0.60%,85.88%,7,3142
G:WDT | P:IN,20647,0.56%,86.44%,3,6882
G:NN | P:CD,20253,0.55%,86.99%,566,36
G:RB | P:IN,19744,0.54%,87.53%,57,346
G:LS | P:CD,19097,0.52%,88.05%,163,117
G:RB | P:JJ,18846,0.51%,88.56%,337,56
G:VBP | P:VB,16703,0.45%,89.01%,671,25
G:IN | P:RB,13609,0.37%,89.38%,152,90
G:NN | P:VBG,12969,0.35%,89.73%,775,17
G:RB | P:NN,12012,0.33%,90.06%,1575,8
G:RBR | P:DT,11836,0.32%,90.38%,2,5918
G:JJ | P:VBP,11424,0.31%,90.69%,667,17
G:JJ | P:SYM,11410,0.31%,91%,4,2853
G:VBP | P:NN,11154,0.30%,91.30%,2086,5
G:DT | P:IN,10592,0.29%,91.59%,2,5296
G:JJR | P:DT,9952,0.27%,91.86%,4,2488
G:IN | P:JJ,9847,0.27%,92.13%,118,83
G:IN | P:CC,9760,0.27%,92.40%,8,1220
G:HYPH | P:SYM,9223,0.25%,92.65%,2,4612
G:VBD | P:VBP,8333,0.23%,92.88%,149,56
G:JJ | P:VBD,8244,0.22%,93.10%,779,11
G:JJS | P:DT,8210,0.22%,93.32%,2,4105
G:NNPS | P:NNS,8128,0.22%,93.54%,1089,7
G:SYM | P:NN,8096,0.22%,93.76%,525,15
G:NN | P:RB,7245,0.20%,93.96%,1870,4
G:NN | P:DT,6809,0.19%,94.15%,13,524
G:VBN | P:NN,6698,0.18%,94.33%,1442,5
G:JJS | P:PRP,6458,0.18%,94.51%,2,3229
G:VB | P:JJ,5681,0.15%,94.66%,843,7
G:HYPH | P:NN,5507,0.15%,94.81%,52,106
G:NN | P:IN,5199,0.14%,94.95%,111,47
G:RP | P:IN,5072,0.14%,95.09%,20,254
G:NN | P:VBN,4745,0.13%,95.22%,690,7
G:VBN | P:VBP,4617,0.13%,95.35%,69,67
G:JJ | P:VBG,4482,0.12%,95.47%,237,19
G:JJR | P:SYM,4414,0.12%,95.59%,2,2207
G:WP$ | P:WDT,4356,0.12%,95.71%,1,4356
G:CC | P:PDT,4259,0.12%,95.83%,1,4259
G:NN | P:CC,4238,0.12%,95.95%,22,193
G:JJS | P:RBS,4099,0.11%,96.06%,47,87
G:LS | P:NN,4095,0.11%,96.17%,619,7
G:IN | P:NN,4042,0.11%,96.28%,696,6
G:RBR | P:JJR,3993,0.11%,96.39%,45,89
G:PRP | P:CD,3823,0.10%,96.49%,2,1912
G:RP | P:RB,3733,0.10%,96.59%,15,249
G:JJ | P:PRP,3515,0.10%,96.69%,20,176
G:CC | P:NN,3423,0.09%,96.78%,224,15
G:JJ | P:VB,3333,0.09%,96.87%,405,8
G:JJR | P:NN,3025,0.08%,96.95%,283,11
G:VB | P:RB,3016,0.08%,97.03%,605,5
G:NN | P:PRP,2659,0.07%,97.10%,61,44
